CITIES,INDIC_UR\TIME	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Belgium,Population on the 1st of January, total	:	9,986,975	10,021,997	10,068,319	10,100,631	10,130,574	10,143,047	10,170,226	10,192,264	10,213,752	10,239,085	10,263,414	10,309,725	10,355,844	10,396,421	10,445,852	10,511,382	10,584,534	10,666,866	10,753,080	10,839,905	11,000,638	11,094,850	11,161,642	11,203,992	11,258,434	11,307,192	11,351,727	11,398,589	:
Bruxelles / Brussel,Population on the 1st of January, total	964,385	954,045	951,217	950,339	949,070	951,580	948,122	950,597	953,175	954,460	964,405	978,384	978,384	992,041	999,899	1,006,749	1,018,804	1,031,215	1,048,491	1,068,532	1,089,538	1,136,778	1,159,448	1,174,624	1,183,841	1,196,831	1,201,129	1,199,095	1,205,492	:
Antwerpen,Population on the 1st of January, total	470,349	467,518	465,783	465,102	462,880	459,072	455,852	453,030	449,745	447,632	446,525	448,709	448,709	452,474	455,148	457,749	461,496	466,203	472,071	477,936	483,505	498,473	507,368	512,230	513,915	515,593	517,731	520,859	523,591	:
Gent,Population on the 1st of January, total	230,543	230,246	230,232	229,821	228,490	227,483	226,464	225,469	224,545	224,074	224,180	226,220	226,220	228,016	229,344	230,951	233,120	235,143	237,250	240,049	243,366	248,358	249,205	249,754	251,984	253,914	257,226	259,462	260,329	:
Charleroi,Population on the 1st of January, total	206,779	206,214	206,903	207,045	206,898	206,491	205,591	204,899	203,853	202,020	200,827	200,578	200,578	200,460	200,608	201,373	201,300	201,550	201,593	202,234	202,598	204,150	204,762	204,826	203,640	203,228	202,602	201,884	202,341	:
Liège,Population on the 1st of January, total	196,825	:	196,303	196,632	195,389	192,393	:	189,510	188,568	187,538	:	351,095	360,068	359,193	360,361	360,765	362,932	365,741	367,612	369,487	371,880	377,263	379,978	382,009	382,637	382,852	382,488	383,725	383,710	:
Brugge,Population on the 1st of January, total	117,460	117,063	116,717	116,871	116,724	116,273	115,815	115,500	115,573	115,991	116,246	116,836	116,836	116,811	117,025	117,327	117,224	116,982	117,073	116,969	116,741	117,260	117,617	118,145	117,886	118,335	118,219	118,393	118,526	:
Namur,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	105,393	105,705	106,213	106,767	107,178	107,653	107,939	108,514	108,950	110,175	110,753	111,224	111,348	111,312	110,738	111,111	111,334	:
Leuven,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	95,463	97,270	98,056	98,119	98,591	98,531	99,365	99,640	100,524	:
Mons,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	91,759	92,721	93,398	94,316	95,357	95,469	95,046	95,332	95,369	:
Kortrijk,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	74,911	75,223	75,667	75,687	75,604	75,577	75,639	75,849	76,342	:
Oostende,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	69,064	69,980	70,655	70,458	70,681	70,813	70,782	71,204	71,451	:
Bulgaria,Population on the 1st of January, total	:	8,669,269	8,595,465	8,484,863	8,459,763	8,427,418	8,384,715	8,340,936	8,283,200	8,230,371	8,190,876	7,928,901	7,891,095	:	:	7,718,750	7,679,290	7,640,238	7,606,551	7,563,710	7,563,710 e	7,504,868 e	7,327,224 e	7,284,552 e	7,245,677 e	7,202,198	7,153,784	7,101,859	7,050,034	:
